EPX,Travel Agency,Online,Cancellation Plan,No,32,CHINA,28.0,0.0,35
KML,Travel Agency,Online,Value Plan,No,56,INDONESIA,28.0,10.64,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,5,INDIA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,8,JAPAN,0.0,0.0,27
EPX,Travel Agency,Online,Cancellation Plan,No,30,PHILIPPINES,14.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,PHILIPPINES,39.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,THAILAND,53.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,25,CHINA,18.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,PHILIPPINES,80.0,0.0,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,36,AUSTRALIA,59.4,35.64,42
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,THAILAND,20.0,0.0,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,43,INDONESIA,24.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27,CAMBODIA,34.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,209,UNITED STATES,112.0,0.0,28
EPX,Travel Agency,Online,Cancellation Plan,No,17,PHILIPPINES,13.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,56,CHINA,13.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,INDONESIA,10.0,0.0,31
JZI,Airlines,Online,Basic Plan,No,43,PHILIPPINES,42.0,14.7,43
EPX,Travel Agency,Online,Cancellation Plan,No,32,"KOREA, REPUBLIC OF",73.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,58,THAILAND,39.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,2,MALAYSIA,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,CHINA,38.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,20,CHINA,20.0,0.0,36
C2B,Airlines,Online,Bronze Plan,Yes,15,SINGAPORE,60.0,15.0,16
RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15.0,6.0,28
EPX,Travel Agency,Online,Cancellation Plan,No,72,NEW ZEALAND,10.0,0.0,36
KML,Travel Agency,Online,Premier Plan,No,5,INDONESIA,38.0,14.44,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,16,THAILAND,69.3,41.58,38
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,22,AUSTRALIA,19.8,11.88,31
EPX,Travel Agency,Online,Cancellation Plan,No,162,INDIA,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,57,CAMBODIA,24.0,0.0,36
JZI,Airlines,Online,Basic Plan,No,52,CHINA,35.0,12.25,35
JZI,Airlines,Online,Basic Plan,No,3,THAILAND,18.0,6.3,69
EPX,Travel Agency,Online,Cancellation Plan,No,10,UNITED STATES,10.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,No,16,INDIA,30.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,No,10,SINGAPORE,21.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,9,CAMBODIA,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,84,UNITED KINGDOM,112.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,CHINA,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,94,INDONESIA,20.0,0.0,40
JZI,Airlines,Online,Basic Plan,No,9,UNITED ARAB EMIRATES,36.0,12.6,50
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,42,UNITED KINGDOM,39.6,23.76,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,HONG KONG,21.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,SINGAPORE,20.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,5,SINGAPORE,21.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,56,AUSTRALIA,49.5,29.7,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,30,LAO PEOPLE'S DEMOCRATIC REPUBLIC,38.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,47,FRANCE,69.3,41.58,32
EPX,Travel Agency,Online,Cancellation Plan,No,2,FRANCE,41.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,47,INDONESIA,15.0,0.0,29
C2B,Airlines,Online,Annual Silver Plan,No,366,SINGAPORE,161.0,40.25,41
JZI,Airlines,Online,Basic Plan,No,1,HONG KONG,22.0,7.7,68
EPX,Travel Agency,Online,Cancellation Plan,No,11,INDONESIA,41.0,0.0,47
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,13,CHINA,48.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,25,SINGAPORE,-36.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,46,SINGAPORE,30.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,59,"TAIWAN, PROVINCE OF CHINA",22.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,17,THAILAND,23.0,0.0,56
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,19,AUSTRALIA,69.3,41.58,55
JZI,Airlines,Online,Value Plan,No,23,CHINA,45.0,15.75,53
JZI,Airlines,Online,Value Plan,No,10,CHINA,45.0,15.75,47
SSI,Airlines,Online,Ticket Protector,No,4,SINGAPORE,3.34,0.94,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,211,AUSTRALIA,69.3,41.58,51
JZI,Airlines,Online,Basic Plan,No,131,CAMBODIA,30.0,10.5,62
SSI,Airlines,Online,Ticket Protector,No,84,SINGAPORE,3.22,0.9,48
JZI,Airlines,Online,Basic Plan,No,9,CHINA,35.0,12.25,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,26,VIET NAM,23.0,0.0,47
EPX,Travel Agency,Online,Cancellation Plan,No,3,THAILAND,10.0,0.0,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,THAILAND,39.6,23.76,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,10,AUSTRALIA,49.5,29.7,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,23,UNITED STATES,9.9,5.94,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,130,AUSTRALIA,19.8,11.88,59
JWT,Airlines,Online,Value Plan,No,61,INDIA,31.0,12.4,99
JZI,Airlines,Online,Basic Plan,No,6,MALAYSIA,18.0,6.3,46
RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15.0,6.0,55
EPX,Travel Agency,Online,Cancellation Plan,No,1,SINGAPORE,11.0,0.0,50
JWT,Airlines,Online,Value Plan,No,16,INDIA,50.0,20.0,99
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,4,UNITED STATES,0.0,0.0,55
JZI,Airlines,Online,Basic Plan,No,11,HONG KONG,26.0,9.1,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,25,THAILAND,0.0,29.7,53
C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,18.0,4.5,58
CSR,Travel Agency,Offline,Comprehensive Plan,No,72,MALAYSIA,29.0,9.57,63
ART,Airlines,Online,24 Protect,No,48,THAILAND,27.87,9.75,48
C2B,Airlines,Online,Bronze Plan,No,100,SINGAPORE,11.5,2.88,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,14,AUSTRALIA,79.2,47.52,52
C2B,Airlines,Online,Annual Silver Plan,No,418,SINGAPORE,252.85,63.21,49
C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,47.0,11.75,57
EPX,Travel Agency,Online,Cancellation Plan,No,1,MALAYSIA,10.0,0.0,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23,MALAYSIA,20.0,0.0,63
JZI,Airlines,Online,Basic Plan,No,96,HONG KONG,26.0,9.1,79
C2B,Airlines,Online,Silver Plan,No,23,SINGAPORE,54.5,13.63,46
KML,Travel Agency,Online,Value Plan,No,59,UNITED KINGDOM,109.0,41.42,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,55,NORWAY,178.2,106.92,57
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,21,UNITED KINGDOM,79.2,47.52,63
RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15.0,6.0,47
EPX,Travel Agency,Online,Cancellation Plan,No,20,VIET NAM,10.0,0.0,69
JZI,Airlines,Online,Basic Plan,No,20,INDIA,40.0,14.0,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,48,UNITED STATES,9.9,5.94,59
C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,252.85,63.21,47
EPX,Travel Agency,Online,Cancellation Plan,No,51,JAPAN,50.0,0.0,56
